baseline_modelName,target_isClose,period,GLOBAL_SEED,rmse,mae,r2,n_days,trading_days,skipped_trades,gap_skips,edge_skips,trade_rate,win_days,win_rate,compound_gross_return,total_return,annualized_return,cagr,sharpe_ratio,sortino_ratio,omega_ratio,max_drawdown,calmar_ratio,profit_factor,volatility,risk_free_rate,execution_threshold,max_gap
baseline_LGBM,False,testing,3000,1.1277850112181909,0.900278018541824,-0.506653821227562,751,123,0,0,0,0.16378162450066577,74,0.6016260162601627,0.332593458071071,0.29283710930418516,0.10114022862086203,0.10109180948325425,1.588449527779801,0.7834237340210032,1.987901057296419,0.07757318952668671,1.3038039203746778,1.987901057296419,0.06186048135065973,0.0,0.0,0.02
baseline_LGBM,False,training,40000,0.06360864136742529,0.029892981810534274,0.9971392264066818,3262,1695,0,0,0,0.5196198651134274,1668,0.984070796460177,1228535.2115272265,14.13383299931566,1.954097472749917,1.9479961083268185,9.591868987699401,308.8641115160552,4188.439701184217,0.00040364900275245236,4841.080888160438,4188.439701184217,0.11383434195858652,0.0,0.0,0.02
baseline_LGBM,False,validating,40000,1.172816391599014,0.8640754068905103,-0.27106746863561404,757,227,0,0,0,0.2998678996036988,130,0.5726872246696035,0.37451023080919565,0.3314220007463963,0.1117022745765952,0.1120466026926219,1.1699249105889489,0.6758972250559291,1.5420972303324028,0.10439392063200216,1.0700074669132855,1.5420972303324028,0.09430354261037178,0.0,0.0,0.02
baseline_LGBM,False,testing,40000,1.1685706875813253,0.9356419409485451,-0.6175988045999308,751,117,0,0,0,0.15579227696404793,73,0.6239316239316239,0.3611214795440352,0.3134930720831669,0.10899464297054351,0.10894228108419868,1.7870229791896775,0.863275147168536,2.2595383175024835,0.04336892389597877,2.5131968510901803,2.2595383175024835,0.058865171606167575,0.0,0.0,0.02
baseline_LGBM,False,training,500000,0.062001632872869965,0.02974157189793485,0.997281949610341,3262,1689,0,0,0,0.5177805027590435,1663,0.9846062759029012,1227425.706383,14.132929447787111,1.9538912845587837,1.947790738726391,9.591033714317316,311.8731498866084,3917.115715486063,0.00035353461251656575,5526.732646205127,3917.115715486063,0.11383697780916843,0.0,0.0,0.02
baseline_LGBM,False,validating,500000,1.1792315286874462,0.8568417590478069,-0.2850106108351731,757,234,0,0,0,0.309114927344782,134,0.5726495726495726,0.330822467355012,0.300304602379284,0.099812674598444,0.10011872542463318,1.0167689621173555,0.5617576595909235,1.4495606902482197,0.1537085344270712,0.6493632573525141,1.4495606902482197,0.09832056576054786,0.0,0.0,0.02
baseline_LGBM,False,testing,500000,1.1662609795187662,0.9270385669086635,-0.6112106781222713,751,117,0,0,0,0.15579227696404793,70,0.5982905982905983,0.29270101896826506,0.26141828186491844,0.08996731275002778,0.08992445809781358,1.566411445484726,0.7375591797214479,1.9972752175479094,0.06240871411855014,1.4415825421291004,1.9972752175479094,0.05600034621498702,0.0,0.0,0.02
baseline_XGBM,True,training,10,0.154131996534952,0.03742796654060988,0.999999753415477,3262,1752,0,0,0,0.5370938074800736,1263,0.7208904109589042,20720.519625403384,10.05102247796929,1.155050555558673,1.151894530095083,6.296204393490317,8.005565798455882,5.870901803861667,0.036401836560890646,31.730557155449528,5.870901803861667,0.12332411576450351,0.0,0.0,0.02
baseline_XGBM,True,validating,10,62.93374790168935,45.21480585498883,0.910406587769945,757,207,0,0,0,0.27344782034346105,107,0.5169082125603864,0.06568388538640435,0.07799875814686685,0.021403403078316785,0.021466664460818796,0.26481895573099096,0.13772809432917138,1.1038839858551583,0.15873554787413366,0.1348368614652605,1.1038839858551583,0.09804902530891467,0.0,0.0,0.02
baseline_XGBM,True,testing,10,390.09355645801764,279.0314123811481,-0.8088773753329976,751,27,0,0,0,0.03595206391478029,14,0.5185185185185185,0.027395246638552306,0.02857899499177896,0.009110130455503462,0.009105953683145485,0.2961383293895554,0.06423672567157424,1.303422454213542,0.05479297623297436,0.16626456677162563,1.303422454213542,0.03238269087187843,0.0,0.0,0.02
baseline_XGBM,True,training,200,0.005331219283747892,0.0016388369805241836,0.9999999997049923,3262,1752,0,0,0,0.5370938074800736,1263,0.7208904109589042,20660.475242590335,10.048113985076235,1.1545674899315541,1.15141309249708,6.294307547181137,8.003249205165924,5.869492297186068,0.036401836560890646,31.71728679129329,5.869492297186068,0.12332558319450462,0.0,0.0,0.02
baseline_XGBM,True,validating,200,65.6630847870807,46.08795077325171,0.9024670302076531,757,127,0,0,0,0.16776750330250992,64,0.5039370078740157,0.02228550414080388,0.03005865040746658,0.007364215114760153,0.007385831111984764,0.13713591719949145,0.053721372374138605,1.0623765874596398,0.13420650620426428,0.05487226605505779,1.0623765874596398,0.07296640059532328,0.0,0.0,0.02
baseline_XGBM,True,testing,200,395.6192585862568,283.18013660822027,-0.8604860706176753,751,25,0,0,0,0.033288948069241014,11,0.44,-0.045393997917250295,-0.045199366142789965,-0.015467754591726557,-0.015460749905159887,-0.5228315049577752,-0.08982265597173666,0.6328031174453276,0.05791671423766754,-0.267068924667462,0.6328031174453276,0.029008895843618963,0.0,0.0,0.02
baseline_XGBM,True,training,3000,5.699282835486394,4.134161448054779,0.9996628519699994,3262,1724,0,0,0,0.5285101164929491,1228,0.7122969837587007,14944.52596326411,9.724333566643807,1.101330807466077,1.0983545554858427,6.059149643510133,7.550416788178262,5.448846900273111,0.03821135195908419,28.822084302208303,5.44884690027311,0.1239837458595814,0.0,0.0,0.02
